iter	Passed	Remaining
441	2047	268
442	2048	263
443	2050	258
444	2052	253
445	2054	248
446	2056	243
447	2057	238
448	2060	233
449	2062	229
450	2064	224
451	2066	219
452	2068	214
453	2069	209
454	2071	204
455	2073	200
456	2074	195
457	2076	190
458	2078	185
459	2079	180
460	2081	176
461	2083	171
462	2085	166
463	2087	161
464	2088	157
465	2090	152
466	2092	147
467	2093	143
468	2095	138
469	2097	133
470	2099	129
471	2101	124
472	2108	120
473	2110	115
474	2112	111
475	2113	106
476	2114	101
477	2116	97
478	2117	92
479	2118	88
480	2119	83
481	2119	79
482	2120	74
483	2121	70
484	2122	65
485	2123	61
486	2124	56
487	2125	52
488	2126	47
489	2127	43
490	2129	39
491	2131	34
492	2132	30
493	2132	25
494	2134	21
495	2135	17
496	2136	12
497	2137	8
498	2138	4
499	2139	0
