iter	RMSE
305	0.3036542855
306	0.3016119238
307	0.2998042174
308	0.2970371778
309	0.2952227157
310	0.2949285774
311	0.2927328278
312	0.2904621222
313	0.2891764349
314	0.2875202218
315	0.2849151213
316	0.2845893988
317	0.282203408
318	0.2800102602
319	0.2777258115
320	0.2749156325
321	0.2720909614
322	0.2698716102
323	0.2694810528
324	0.2691732177
325	0.2678532241
326	0.2675367189
327	0.2673162653
328	0.2665526519
329	0.2654116455
330	0.2651633173
331	0.2622428701
332	0.2601908985
333	0.2580187828
334	0.2562443484
335	0.2534594198
336	0.2522359424
337	0.2507348923
338	0.2487755401
339	0.2463742548
340	0.2446170656
341	0.2419674272
342	0.2400226955
343	0.2391071867
344	0.2366376028
345	0.2354110673
346	0.2336104013
347	0.2316127107
348	0.230672155
349	0.2287937831
350	0.2280331806
351	0.2260144396
352	0.2245941267
353	0.2227173514
354	0.2218847919
355	0.2197424488
356	0.2179253615
357	0.2154983362
358	0.213882863
359	0.2119899493
360	0.2100186948
361	0.208768569
362	0.2071161958
363	0.2058181307
364	0.2039405469
365	0.2020626891
366	0.2006840875
367	0.1991322412
368	0.1978319009
369	0.1962909914
370	0.1959286402
371	0.1944913744
372	0.1936904383
373	0.1922440967
374	0.1901687531
375	0.188996179
376	0.1878037788
377	0.1863847811
378	0.1857303903
379	0.1847456988
380	0.1836504147
381	0.1826315594
382	0.1808144657
383	0.1802510858
384	0.1794728364
385	0.1780346116
386	0.177459103
387	0.1760920121
388	0.1748533252
389	0.1734570377
390	0.1732148565
391	0.1723385358
392	0.1716430422
393	0.1704704285
394	0.169837773
395	0.1680879688
396	0.167557129
397	0.1665500098
398	0.1663241126
399	0.1645105024
400	0.1640599971
401	0.1626323968
402	0.1619094816
403	0.1617786878
404	0.1613140017
405	0.1605008536
406	0.1593239225
407	0.1579686
408	0.1569051375
409	0.1555682612
410	0.1546579043
411	0.1537136677
412	0.1527011697
413	0.1524893135
414	0.1518975599
415	0.1511333431
416	0.1510209034
417	0.1502640828
418	0.1495130865
419	0.1486052143
420	0.1480649289
421	0.1476370625
422	0.1467787826
423	0.1459566739
424	0.1454234519
425	0.1442233049
426	0.1435225099
427	0.1421118978
428	0.14139832
429	0.1403560744
430	0.1398335247
431	0.1392963182
432	0.1390731037
433	0.138817546
434	0.1377101226
435	0.1367141097
436	0.1361414907
437	0.1357727727
438	0.134834765
439	0.1345572076
440	0.1333914119
441	0.1323463446
442	0.1312981332
443	0.130414801
444	0.1299835868
445	0.1293668601
446	0.1283077556
447	0.127906514
448	0.1269966228
449	0.1261157698
450	0.1258389393
451	0.1250805755
452	0.1242846478
453	0.1237706167
454	0.1235548232
455	0.122489484
456	0.1216144751
457	0.1211899197
458	0.1211116609
459	0.1201253354
460	0.120057632
461	0.1199704178
462	0.1197202643
463	0.1190007075
464	0.1183031858
465	0.1176643668
466	0.1166940509
467	0.1160568154
468	0.115396837
469	0.1146625038
470	0.1139728854
471	0.1131288948
472	0.1129319473
473	0.1127074023
474	0.1119912004
475	0.1111945496
476	0.1109726856
477	0.1103594041
478	0.1098419042
479	0.1090109616
480	0.1083150661
481	0.1076200069
482	0.1073633784
483	0.1070715531
484	0.1065932697
485	0.1064696335
486	0.1058393183
487	0.1050557122
488	0.1043827472
489	0.1037972223
490	0.1029680257
491	0.1025091676
492	0.1018091084
493	0.1013567557
494	0.1005806191
495	0.09982919158
496	0.09962881772
497	0.0990364125
498	0.09853197031
499	0.09832135825
031
8	0.0866516959
499	0.08621319835
