player_name,player_slug,consistency_score,floor,ceiling,avg_fp,median_fp,std_fp,coef_variation,iqr_ratio,games_played,optimized_ma_fp,optimized_ma_points,optimized_ma_rebounds,optimized_ma_assists,injury_risk_score,games_played_count,is_contender,team
A.J. Green,greenaj01,7.080485742255972,5.0,24.0,14.013698630136986,13.0,7.131817864062605,0.508917599292835,0.6923076923076923,73.0,126.05002974439299,-2.601941727569036,2.899999999999997,-0.3785724984762515,15.252949424117984,73,True,Team.MILWAUKEE_BUCKS
A.J. Lawson,lawsoaj01,6.105151850954305,1.5,33.0,16.384615384615383,17.0,12.68577920676693,0.7742494351547893,1.1323529411764706,26.0,18.245812899498418,10.3615816771689,0.840669082681063,1.6090270151431418,70.0,26,False,Team.TORONTO_RAPTORS
AJ Griffin,griffaj01,1.2430175955348994,0.0,8.200000000000003,3.85,3.5,3.409912022325503,0.8856914343702605,1.4285714285714286,20.0,3.81387504744069,2.4032205880661976,0.05049581280921028,0.21288253501681081,70.0,20,False,Team.ATLANTA_HAWKS
AJ Johnson,johnsaj01,5.9913937669292086,1.7000000000000002,30.300000000000004,15.206896551724139,17.0,10.610272544664301,0.6977276730051354,1.1176470588235294,58.0,19.865980664084866,10.654104541595443,0.2829959154180982,3.6141564838562004,55.0,58,False,Team.WASHINGTON_WIZARDS
Aaron Gordon,gordoaa01,14.727156014775229,12.0,41.0,26.686274509803923,27.0,11.07990620063367,0.4151911948804682,0.5555555555555556,51.0,20.03307232833262,13.04314874023784,0.9314337473100904,0.36132791010060616,64.61951379342491,51,True,Team.DENVER_NUGGETS
Aaron Holiday,holidaa01,4.250236964038749,2.1000000000000005,18.9,10.274193548387096,8.0,7.584299050773993,0.7381892325714091,1.09375,62.0,10.860186933993809,6.049697024382975,0.41604298460061373,4.693070186706381,35.0,62,True,Team.HOUSTON_ROCKETS
Aaron Nesmith,nesmiaa01,12.044919047472117,10.8,34.2,21.022222222222222,19.0,8.530960318194973,0.40580678046382007,0.631578947368421,45.0,46.88668100671468,19.1858382951898,0.1220224828831622,0.45910821706109095,64.8106011260378,45,True,Team.INDIANA_PACERS
Aaron Wiggins,wiggiaa01,10.724750467096051,7.5,34.5,21.605263157894736,20.0,11.639405559256588,0.5387300989668092,0.7,76.0,-47.029349791519984,16.987545477303136,1.3873035994696115,0.7944233449094388,15.186927137485497,76,True,Team.OKLAHOMA_CITY_THUNDER
Adam Flagler,flaglad01,0.5971257079331145,0.0,8.799999999999997,3.918918918918919,1.0,6.8116687576317245,1.7381499588439573,4.0,37.0,5.896534744741399,2.9877453531960403,0.2127003917205857,0.7685706922888218,70.0,37,True,Team.OKLAHOMA_CITY_THUNDER
Adama Sanogo,sanogad01,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,50.0,4,False,Team.CHICAGO_BULLS
Adem Bona,bonaad01,5.454076400154086,1.7000000000000002,33.300000000000004,14.827586206896552,11.5,12.34858351647095,0.8328114464596686,1.3478260869565217,58.0,27.566769900657803,13.172282775916443,2.8315621378028837,0.7591305700811108,55.0,58,False,Team.PHILADELPHIA_76ERS
Admiral Schofield,schofad01,0.624645037934539,0.0,6.800000000000001,2.391304347826087,1.0,2.8550356798925223,1.1939240115914185,4.0,23.0,3.1134946550039926,1.54377897016968,0.18775937991631508,0.3289608530817313,70.0,23,True,Team.ORLANDO_MAGIC
Ajay Mitchell,mitchaj01,5.99811815889025,3.5,24.0,13.555555555555555,12.5,9.148298094437639,0.6748744495896619,1.12,36.0,14.639219554820551,8.009202245278566,0.6055256950413599,2.027557910066854,67.18488628663607,36,True,Team.OKLAHOMA_CITY_THUNDER
Al Horford,horfoal01,12.554573504158277,9.9,33.1,22.966666666666665,23.0,9.49379914587528,0.41337296716438093,0.5,60.0,-7.537410430209,2.2147855288177034,-0.00010117007235521669,4.598013432358169,25.50666375385775,60,True,Team.BOSTON_CELTICS
Alec Burks,burksal01,5.454573486966476,1.8000000000000007,26.60000000000001,13.591836734693878,14.0,9.406724401902313,0.6920863298696897,1.0714285714285714,49.0,14.865503673368254,12.762255204820823,0.6156107507528641,-0.7134147503285388,70.0,49,False,Team.MIAMI_HEAT
Aleksej Pokusevski,pokusal01,4.9246136581105135,0.5,25.5,13.214285714285714,14.0,9.162645995161716,0.6933894266608867,1.1785714285714286,56.0,18.39290299960658,8.305533339545269,0.48291965341131293,1.5500019261567504,70.0,56,False,Team.CHARLOTTE_HORNETS
Alex Caruso,carusal01,11.791554327981917,10.3,31.0,20.90740740740741,20.0,8.760746878608938,0.4190259800220395,0.6375,54.0,27.03876887703717,15.498553162983296,1.2901995689641839,1.1667146391592467,63.38854994402756,54,True,Team.OKLAHOMA_CITY_THUNDER
Alex Ducas,ducasal01,1.0722811034129776,0.0,10.0,3.9523809523809526,1.0,4.519546863887494,1.14349980893539,8.0,21.0,4.59840353081386,2.044947855842697,0.6229522412702408,0.3840689490645808,70.0,21,True,Team.OKLAHOMA_CITY_THUNDER
Alex Fudge,fudgeal01,0.67202661619405,0.0,20.10000000000001,4.5,1.0,7.88986691902975,1.7533037597843888,3.0,12.0,0.0,0.0,0.0,0.0,70.0,12,True,Team.DALLAS_MAVERICKS
Alex Len,lenal01,2.1157664014495317,0.0,18.0,6.8478260869565215,6.0,6.540733210143645,0.9551546910051038,1.3333333333333333,92.0,7.114953255171069,2.80969510027817,1.2547000784357782,0.7609275253334293,20.0,92,True,Team.LOS_ANGELES_LAKERS
