player_name,player_slug,consistency_score,floor,ceiling,avg_fp,median_fp,std_fp,coef_variation,iqr_ratio,games_played,optimized_ma_fp,optimized_ma_points,optimized_ma_rebounds,optimized_ma_assists,injury_risk_score,games_played_count,is_contender,team,recent_form_zscore,consistency_premium,age_factor,usage_proxy,upside_ratio,floor_reliability,projected_fp,proj_p10,proj_p25,proj_p50,proj_p75,proj_p90,upside,downside,risk_reward_ratio,projection_range,adjusted_projection,vorp,scarcity_adjusted_value,draft_score,overall_rank
Damian Lillard,lillada01,29.78997051281729,31.7,62.60000000000001,45.12068965517241,44.0,11.401871573844563,0.25269719193083096,0.3352272727272727,58.0,53.97673904731577,29.79865530982926,0.5649329341024412,5.128203297522365,39.576734673581356,58,True,Team.MILWAUKEE_BUCKS,0.714089751648508,2.8352933419331405,1.0,35.49179154145407,1.3573084112149534,0.6873271028037383,45.85330922365256,29.577692,42.642273,45.097134,45.121346,45.75163,0.65449524,15.519442,0.039619695,16.173937,36.77968795840167,21.099496702751388,14.486301306527867,35.350176889698325,17
Donovan Mitchell,mitchdo01,25.999311074769025,26.0,58.0,41.098591549295776,40.0,11.749923499394313,0.28589601386463204,0.475,71.0,55.127479847419565,4.866928306898451,-1.037062498981997,4.223279995285471,6.7566657311028875,71,True,Team.CLEVELAND_CAVALIERS,1.1003115664803975,2.591371675455525,1.0,8.053145803201923,1.377718300434928,0.6175978588156574,41.774201439596666,31.123316,41.09942,41.101124,41.098705,41.964344,0.8632202,9.977808,0.078633204,10.841028,40.3629298630411,24.682738607390824,18.069543211167304,34.84032116664883,18
Devin Booker,bookede01,28.988109919074567,30.4,59.0,44.2,45.0,11.159450404627162,0.25247625349835207,0.36666666666666664,75.0,77.3297694095047,30.38032967873186,0.44641014861321837,2.8139551342463527,5.293009998958964,75,False,Team.PHOENIX_SUNS,2.724610760112767,2.837070554611632,1.0,33.64069496159143,1.3053097345132743,0.6725663716814159,44.951655626695455,31.047337,43.838585,44.192688,44.20009,44.620064,0.4273758,13.145351,0.030213162,13.572727,43.76200781318616,28.08181655753588,21.46862116131236,34.82456503819968,19
Jalen Williams,willija06,27.684259778419285,29.8,57.400000000000006,41.85507246376812,41.0,10.916382267323879,0.2608138422594694,0.3170731707317073,69.0,45.41581590918889,20.162360152657275,1.6881360369524911,1.616082872965244,22.713157547864128,69,True,Team.OKLAHOMA_CITY_THUNDER,0.29881077709169784,2.7715122949215383,1.0,23.46657906257501,1.3393980385525872,0.6953669259384512,42.518779315386226,29.646637,41.849304,41.855675,41.856243,42.00419,0.1485138,12.209038,0.011243347,12.357552,37.69010064872006,22.009909393069783,15.396713996846263,34.76584467078011,20
De'Aaron Fox,foxde01,28.531965778288985,30.0,59.0,43.79032258064516,44.0,11.815977560167982,0.26983079511249164,0.3409090909090909,124.0,54.1649309606174,34.610668763855706,1.1309064137211515,4.082660307235733,5.013109598728807,124,False,Team.SAN_ANTONIO_SPURS,0.809505816568881,2.703939242528004,1.0,39.82423548481259,1.3172488296723084,0.6697875405113431,43.24418819607244,31.082968,44.252823,43.38215,42.702126,42.919,-0.46315002,12.299181,-0.034825455,11.836031,42.16024892139762,26.48005766574734,19.866862269523818,33.857728484476226,21
Evan Mobley,mobleev01,25.088752169255066,26.0,57.0,39.49295774647887,39.0,12.288633519921857,0.3111601212248402,0.3717948717948718,71.0,4415.192686970729,11.719974713609904,2.246120407468927,2.0430942693262137,8.067644812927902,71,True,Team.CLEVELAND_CAVALIERS,329.2813909469587,2.432142487508307,1.0,16.009189390405044,1.4076521739130434,0.6420869565217392,40.213333864304744,38.29045,39.435196,39.491665,39.493114,39.600082,0.10841751,1.2012138,0.049253512,1.3096313,38.591199392500265,22.911008136849986,16.297812740626465,33.62333661437799,22
Jamal Murray,murraja01,26.32203451743021,27.6,55.4,40.850746268656714,41.0,11.916693084490712,0.29171298380010147,0.4268292682926829,67.0,40.1384431718945,18.779518451062703,2.461073185522558,10.921047782699159,21.41485593298568,67,True,Team.DENVER_NUGGETS,-0.05514593341367591,2.5528895935456632,1.0,32.16163941928442,1.3237517831669046,0.6594864479315264,40.92528208162081,29.66629,41.508545,40.09614,40.152195,41.203167,1.1070251,10.429852,0.09685385,11.536877,36.54323698264726,20.86304572699698,14.249850330773459,33.27264028888033,23
Darius Garland,garlada01,25.305807128114058,26.4,50.60000000000001,38.49333333333333,38.0,9.304297692763036,0.24171192482065387,0.2894736842105263,75.0,38.58550269199537,55.16613161487578,1.1737839617427175,3.264281765219078,6.345323832308436,75,True,Team.CLEVELAND_CAVALIERS,0.008944749211464795,2.926441623378657,1.0,59.604197341837576,1.2812288993923027,0.6684672518568534,38.557567431758855,31.137415,40.035618,38.467403,37.86623,38.412704,-0.054698944,7.3299885,-0.006566509,7.2752895,37.33426617405596,21.654074918405684,15.040879522182163,33.11581898673531,24
Stephen Curry,curryst01,27.21659306985152,27.9,57.0,42.857142857142854,44.0,12.909891793599549,0.3012308085173228,0.3352272727272727,70.0,37.58676291875871,35.071353065051824,0.18875384730429867,5.055073492159853,5.951713437041475,70,False,Team.GOLDEN_STATE_WARRIORS,-0.3788943880073345,2.492331044306698,1.0,40.31518040451597,1.2996742671009773,0.636156351791531,43.490736522785895,31.069098,42.817833,42.857616,42.857155,42.929188,0.07157135,11.788519,0.0055965316,11.86009,42.19651451803842,26.51632326238814,19.90312786616462,33.10107342097593,25
Josh Hart,hartjo01,24.84897757288796,25.6,52.400000000000006,38.62337662337662,39.0,10.713553694001758,0.2773852166906979,0.3333333333333333,77.0,10.36694557058097,6.884060771289672,-1.6360515424724786,5.657595006463832,6.56429279398403,77,True,Team.NEW_YORK_KNICKS,-2.4122851007431776,2.649812329081222,1.0,10.905604235281025,1.3224516551950183,0.646083251392986,39.158283223086414,31.855959,38.982193,38.709034,38.779625,38.664036,-0.04499817,6.853075,-0.0057300064,6.808077,37.873051041155954,22.192859785505675,15.579664389282154,33.08677973206658,26
